sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
103,XNF,ELBİSTAN DOĞAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,ELBİSTAN
104,XLB,ENS LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
105,XIC,ER MAKİNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
106,XGJ,ERC TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAYSERİ,MERKEZ
107,XPJ,ERDEM AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,DERİK
108,XUD,EREĞLİ PANCAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,EREĞLİ
109,XHK,EREĞLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
110,XJB,ERK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
111,XHR,EROĞLU AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
112,XNL,ESATBEYOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,YOZGAT,YERKÖY
113,XGL,ESERLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,MERKEZ
114,XFS,ESLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,UZUNKÖPRÜ
115,XEA,ESLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,EDİRNE,MERKEZ
116,XLM,FİLİKCİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,ESKİL
117,XHJ,FLORA HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADIYAMAN,MERKEZ
118,XDT,GAP ŞANLIURFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,MERKEZ
119,XHA,GAZİANTEP TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,MERKEZ
120,GLD,GİRESUN FINDIK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GİRESUN,MERKEZ
121,XUA,GK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,OSMANİYE,KADİRLİ
122,XHO,GM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRŞEHİR,MERKEZ
123,XNE,GÖRENLER AGRO TARIM ÜRÜNLERI LİSANSLİ DEPOCULUK A.Ş.,ŞANLIURFA,VİRANŞEHİR
124,XUH,GÖZÜKARA AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,YÜREĞİR 
125,XJP,GRAİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,HATAY,KIRIKHAN
126,XBN,GRAİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,HATAY,MERKEZ
127,XHY,GÜNEY LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,"MERKEZ, ÇEŞMELİSEBİL"
128,XIK,GÜR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BATMAN,BEŞİRİ
129,XOK,GÜR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BATMAN,MERKEZ
130,GZL,GÜZEL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,"CİHANBEYLİ, YEŞİLÖZ"
131,XKI,GÜZELOĞLU LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KARATAY
132,HET,HACI EMİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BATMAN ,MERKEZ
133,XEN,HACIÖMEROĞLU AFM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DİYARBAKIR,MERKEZ
134,XEN,HACIÖMEROĞLU AFM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BATMAN,BEŞİRİ
135,XMB,HACIÖMEROĞLU AFM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BİTLİS,AHLAT
136,XMU,HAS BUĞSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
137,XNH,HAS GRAİN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
138,XGC,HASANOĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
139,XKD,HASANOĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRŞEHİR,MERKEZ
140,HKM,HEKİMOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,MERKEZ
141,XIV,HİCAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,İSTANBUL,MERKEZ
142,XFU,HİKMET ŞEFLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
143,XGG,HİMMETDEDE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAYSERİ,MERKEZ
144,XKR,HİMMETDEDE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,NEVŞEHİR,HACIBEKTAŞ
145,XPF,HK KARATAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAHRAMANMARAŞ,ONİKİŞUBAT
146,XOB,İKİ KARDEŞLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ELAZIĞ,KOVANCILAR
147,XOY,İMPAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,TEKİRDAĞ,SÜLEYMANPAŞA
148,XOF,İNCEÖZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,NEVŞEHİR,MERKEZ
149,XNP,İPEK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAYSERİ,YEŞİLHİSAR
150,XPH,İPEK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞEFAATLİ,YOZGAT
151,XFI,İPEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,MERKEZ
152,İPL,İPSALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,İPSALA
153,XGS,İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
154,XNR,İSMAİL HAKKI KUMARTAŞLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AFYONKARAHİSAR,EMİRDAĞ
