urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ESLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE/UZKÖPRÜ,14639,"İMPAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ/SPAŞA,16900,127,164,385,548,2261,1713
"BUĞDAY EKMEKLİK KIRMIZI 1.SINIF","ESLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE/HAVSA,15837,"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE/KEŞAN,18000,102,164,310,474,2163,1689
"ARPA 2.SINIF","KUŞAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ/FELAHİYE,10384,"ALTUNTAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/AĞAÇÖREN,12800,188,164,571,734,2416,1682
"BUĞDAY EKMEKLİK KIRMIZI 3.SINIF","DOĞA AKBULUT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/MERKEZ,14490,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,16710,129,164,392,556,2220,1665
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ALTINAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA/CEYHAN,14000,"PTB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA/POLATLI,17500,557,164,1688,1852,3500,1648
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","EDİRNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",EDİRNE/MERKEZ,14705,"İMPAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ/SPAŞA,16900,127,164,385,548,2195,1646
"BUĞDAY MAKARNALIK 3.SINIF","GAP ŞANLIURFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA/EYYÜBİYE,14612,"ÖZTAÇ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA/EYYÜBİYE,16419,0,164,0,164,1807,1644
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ALTINBİLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ESKİŞEHİR/ALPU,14417,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KARATAY,17200,325,164,984,1148,2783,1635
"MISIR 2.SINIF","AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,12200,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13991,0,164,0,164,1791,1628
"BUĞDAY EKMEKLİK KIRMIZI 3.SINIF","EDİRNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",EDİRNE/MERKEZ,13907,"TRAKYA EVREN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ/SPAŞA,16073,127,164,385,548,2166,1618
